csv_date,hour,sky_condition
01/15/2013,16,4
01/15/2013,17,4
01/15/2013,18,4
01/15/2013,19,4
01/15/2013,20,4
01/15/2013,21,4
01/15/2013,22,4
01/15/2013,23,4
01/16/2013,00,4
01/16/2013,01,4
01/16/2013,02,4
01/16/2013,03,4
01/16/2013,04,4
01/16/2013,05,4
01/16/2013,06,4
01/16/2013,07,4
01/16/2013,08,4
01/16/2013,09,4
01/16/2013,10,4
01/16/2013,11,4
01/16/2013,12,4
01/16/2013,13,4
01/16/2013,14,4
01/16/2013,15,4
01/16/2013,16,4
01/16/2013,17,4
01/16/2013,18,4
01/16/2013,19,4
01/16/2013,20,4
01/16/2013,21,4
01/16/2013,22,4
01/16/2013,23,4
01/17/2013,00,4
01/17/2013,01,4
01/17/2013,02,4
01/17/2013,03,4
01/17/2013,04,4
01/17/2013,05,4
01/17/2013,06,3
01/17/2013,07,3
01/17/2013,08,2
01/17/2013,09,1
01/17/2013,10,2
01/17/2013,11,1
01/17/2013,12,2
01/17/2013,13,1
01/17/2013,14,1
01/17/2013,15,1
01/17/2013,16,1
01/17/2013,17,1
01/17/2013,18,2
01/17/2013,19,0
01/17/2013,20,2
01/17/2013,21,2
01/17/2013,22,2
01/17/2013,23,2
01/18/2013,00,0
01/18/2013,01,0
01/18/2013,02,0
01/18/2013,03,0
01/18/2013,04,0
01/18/2013,05,0
01/18/2013,06,1
01/18/2013,07,3
01/18/2013,08,3
01/18/2013,09,3
01/18/2013,10,1
01/18/2013,11,2
01/18/2013,12,0
01/18/2013,13,1
01/18/2013,14,1
01/18/2013,15,1
01/18/2013,16,1
01/18/2013,17,1
01/18/2013,18,1
01/18/2013,19,2
01/18/2013,20,2
01/18/2013,21,0
01/18/2013,22,0
01/18/2013,23,0
01/19/2013,00,0
01/19/2013,01,2
01/19/2013,02,3
01/19/2013,03,4
01/19/2013,04,4
01/19/2013,05,4
01/19/2013,06,4
01/19/2013,07,4
01/19/2013,08,4
01/19/2013,09,4
01/19/2013,10,4
01/19/2013,11,4
01/19/2013,12,4
01/19/2013,13,2
01/19/2013,14,1
01/19/2013,15,4
01/19/2013,16,4
01/19/2013,17,4
01/19/2013,18,4
01/19/2013,19,4
01/19/2013,20,4
01/19/2013,21,4
01/19/2013,22,4
